0,"[flavor, kit, kat, taste, unique, bit, different, bothersome, price, thought, bit, expensive]"
1,"[good, great, gift, fan, green, tea, expensive, purchase, candy, sea]"
2,"[curious, like, smooth, great, subtle, good, flavor, ordering, plan, make, routine]"
3,"[looking, forward, trying, hearing, popular, japan, kit, kat, fans, recommend, ordering, warm, weather, melt, smushy, ordered, right, summer, began, bit, mushy, let, solidify, room, temp, tried, tasted, fine, expecting, stronger, green, tea, matcha, flavor, actually, subtle, outer, coating, creamy, overly, sugary, liked, overall, insanely, good, definitely, yummy, treat]"
4,"[kit-kats, good, looking, strong, green, tea, flavor-, disappointed, green, tea, flavor, subtle]"
5,"[creamy, white, chocolate, infused, matcha, green, tea, surrounding, layers, wafers, sweeter, traditional, kitkat, small, size, perfect, satisfy, chocolate, craving, w/o, guilt, la, week, picked, bag, whim, japanese, store, little, tokyo, wi, regretting, picking, handful, kitkats, delicious, bags, 5]"
6,"[hearing, mixed, opinions, kit, kats, decided, try, excellent, regret, purchasing, taste, like, matcha, bit, vanilla, milky, flavor, sweet, plain, best, kit, kats, recommend, likes, matcha-flavored, candies, wanting, try, unusual, kind, kit, kat]"
7,"[ordered, summer, course, arrived, melted, trip, freezer, awesome, order, cooler, times, good, condition.i, love, regular, chocolate, kit-kat, bars, hope, store, shelves]"
8,"[definitely, best, candy, bar, wish, able, local, store, instead, buy, online]"
9,"[yes, expensive, candies, comes, imported, goodness, good, kitkat, folks, clean, started, selling, try, wait, yummy, delivered, quickly, fresh]"
10,"[love, green, tea, kitkat, taste, good, sweet, milk, chocolate, comes, 12, small, pack, easy, diet, love, dark, chocolate]"
11,"[tried, today, delicious, taste, matcha, flavor, like, green, tea, ice, cream, tasted, like, white, chocolate, grainy, texture, guessing, matcha, tea, powder, favorite, kitkat, flavor, mix, mocha]"
12,"[curry, paste, makes, delicious, curry, fried, chicken, vegetables, added, coconut, milk, delicious, spicy, looking, mild, look]"
13,"[purchased, different, curries, grocery, store, completely, happy, flavor, read, recipe, recommended, brand, using, recommend, specific, brand, great, flavor, purchased, 3, green, red, yellow, curry, paste, enjoyed, 3, types]"
14,"[love, ethnic, foods, cook, recently, purchased, product, major, disappointment, drawing, board.the, reviews, free, shipping, ordered, red, green, tonight, used, green, wow, look, like, gourmet, international, chef, incredibly, good, definitely, hot, fine, glad, coconut, milk, base, excellent, hand]"
15,"[started, new, diet, restricting, added, sugars, brands, sugar, added, ingredients, tastes, great, boot, finish, tub, goes, long]"
